docno,text
266,"Dex Number: #0266 Silcoon Bug Name: Silcoon Type: Bug Description: SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,"Dex Number: #0267 Beautifly Bug · Flying Name: Beautifly Type: Bug, Flying Description: BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
268,"Dex Number: #0268 Cascoon Bug Name: Cascoon Type: Bug Description: CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon."
269,"Dex Number: #0269 Dustox Bug · Poison Name: Dustox Type: Bug, Poison Description: DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,"Dex Number: #0270 Lotad Water · Grass Name: Lotad Type: Water, Grass Description: LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water."
271,"Dex Number: #0271 Lombre Water · Grass Name: Lombre Type: Water, Grass Description: LOMBRE is nocturnal - it will get active after dusk. It is also a mischief-maker. When this POKéMON spots anglers, it tugs on their fishing lines from beneath the surface and enjoys their consternation."
272,"Dex Number: #0272 Ludicolo Water · Grass Name: Ludicolo Type: Water, Grass Description: LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings."
273,"Dex Number: #0273 Seedot Grass Name: Seedot Type: Grass Description: SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes."
274,"Dex Number: #0274 Nuzleaf Grass · Dark Name: Nuzleaf Type: Grass, Dark Description: NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched."
275,"Dex Number: #0275 Shiftry Grass · Dark Name: Shiftry Type: Grass, Dark Description: SHIFTRY is a mysterious POKéMON that is said to live atop towering trees  dating back over a thousand years. It creates terrific windstorms with the fans it holds."
276,"Dex Number: #0276 Taillow Normal · Flying Name: Taillow Type: Normal, Flying Description: TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,"Dex Number: #0277 Swellow Normal · Flying Name: Swellow Type: Normal, Flying Description: SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
278,"Dex Number: #0278 Wingull Water · Flying Name: Wingull Type: Water, Flying Description: WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky."
279,"Dex Number: #0279 Pelipper Water · Flying Name: Pelipper Type: Water, Flying Description: PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea."
280,"Dex Number: #0280 Ralts Psychic · Fairy Name: Ralts Type: Psychic, Fairy Description: RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
281,"Dex Number: #0281 Kirlia Psychic · Fairy Name: Kirlia Type: Psychic, Fairy Description: It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain."
282,"Dex Number: #0282 Gardevoir Psychic · Fairy Name: Gardevoir Type: Psychic, Fairy Description: GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
283,"Dex Number: #0283 Surskit Bug · Water Name: Surskit Type: Bug, Water Description: From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
284,"Dex Number: #0284 Masquerain Bug · Flying Name: Masquerain Type: Bug, Flying Description: MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter."
285,"Dex Number: #0285 Shroomish Grass Name: Shroomish Type: Grass Description: SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
286,"Dex Number: #0286 Breloom Grass · Fighting Name: Breloom Type: Grass, Fighting Description: BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
287,"Dex Number: #0287 Slakoth Normal Name: Slakoth Type: Normal Description: SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
288,Dex Number: #0288 Vigoroth Normal Name: Vigoroth Type: Normal Description: VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.
289,"Dex Number: #0289 Slaking Normal Name: Slaking Type: Normal Description: SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot."
290,"Dex Number: #0290 Nincada Bug · Ground Name: Nincada Type: Bug, Ground Description: NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution."
291,"Dex Number: #0291 Ninjask Bug · Flying Name: Ninjask Type: Bug, Flying Description: NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
292,"Dex Number: #0292 Shedinja Bug · Ghost Name: Shedinja Type: Bug, Ghost Description: SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back."
293,"Dex Number: #0293 Whismur Normal Name: Whismur Type: Normal Description: Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
294,Dex Number: #0294 Loudred Normal Name: Loudred Type: Normal Description: LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.
295,"Dex Number: #0295 Exploud Normal Name: Exploud Type: Normal Description: EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
296,"Dex Number: #0296 Makuhita Fighting Name: Makuhita Type: Fighting Description: MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
297,"Dex Number: #0297 Hariyama Fighting Name: Hariyama Type: Fighting Description: HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two."
298,"Dex Number: #0298 Azurill Normal · Fairy Name: Azurill Type: Normal, Fairy Description: AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
299,"Dex Number: #0299 Nosepass Rock Name: Nosepass Type: Rock Description: NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
300,Dex Number: #0300 Skitty Normal Name: Skitty Type: Normal Description: SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.
301,"Dex Number: #0301 Delcatty Normal Name: Delcatty Type: Normal Description: DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
302,"Dex Number: #0302 Sableye Dark · Ghost Name: Sableye Type: Dark, Ghost Description: SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
303,"Dex Number: #0303 Mawile Steel · Fairy Name: Mawile Type: Steel, Fairy Description: MAWILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWILE chomps it with its gaping jaws."
304,"Dex Number: #0304 Aron Steel · Rock Name: Aron Type: Steel, Rock Description: This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
305,"Dex Number: #0305 Lairon Steel · Rock Name: Lairon Type: Steel, Rock Description: LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water."
306,"Dex Number: #0306 Aggron Steel · Rock Name: Aggron Type: Steel, Rock Description: AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times."
307,"Dex Number: #0307 Meditite Fighting · Psychic Name: Meditite Type: Fighting, Psychic Description: MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
308,"Dex Number: #0308 Medicham Fighting · Psychic Name: Medicham Type: Fighting, Psychic Description: It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
309,Dex Number: #0309 Electrike Electric Name: Electrike Type: Electric Description: ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.
310,"Dex Number: #0310 Manectric Electric Name: Manectric Type: Electric Description: MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds."
311,"Dex Number: #0311 Plusle Electric Name: Plusle Type: Electric Description: PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy."
312,Dex Number: #0312 Minun Electric Name: Minun Type: Electric Description: MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.
313,"Dex Number: #0313 Volbeat Bug Name: Volbeat Type: Bug Description: With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE."
314,"Dex Number: #0314 Illumise Bug Name: Illumise Type: Bug Description: ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky."
315,"Dex Number: #0315 Roselia Grass · Poison Name: Roselia Type: Grass, Poison Description: ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things."
316,"Dex Number: #0316 Gulpin Poison Name: Gulpin Type: Poison Description: Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything."
317,"Dex Number: #0317 Swalot Poison Name: Swalot Type: Poison Description: When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth."
318,"Dex Number: #0318 Carvanha Water · Dark Name: Carvanha Type: Water, Dark Description: CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON."
319,"Dex Number: #0319 Sharpedo Water · Dark Name: Sharpedo Type: Water, Dark Description: Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker."
320,Dex Number: #0320 Wailmer Water Name: Wailmer Type: Water Description: WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.
321,"Dex Number: #0321 Wailord Water Name: Wailord Type: Water Description: WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth."
322,"Dex Number: #0322 Numel Fire · Ground Name: Numel Type: Fire, Ground Description: NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma."
323,"Dex Number: #0323 Camerupt Fire · Ground Name: Camerupt Type: Fire, Ground Description: CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma."
324,"Dex Number: #0324 Torkoal Fire Name: Torkoal Type: Fire Description: TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat."
325,"Dex Number: #0325 Spoink Psychic Name: Spoink Type: Psychic Description: SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop."
326,"Dex Number: #0326 Grumpig Psychic Name: Grumpig Type: Psychic Description: GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored."
327,"Dex Number: #0327 Spinda Normal Name: Spinda Type: Normal Description: All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing."
328,"Dex Number: #0328 Trapinch Ground Name: Trapinch Type: Ground Description: TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders."
329,"Dex Number: #0329 Vibrava Ground · Dragon Name: Vibrava Type: Ground, Dragon Description: To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people."
330,"Dex Number: #0330 Flygon Ground · Dragon Name: Flygon Type: Ground, Dragon Description: FLYGON is nicknamed “the elemental  spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying."
331,"Dex Number: #0331 Cacnea Grass Name: Cacnea Type: Grass Description: CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down."
332,"Dex Number: #0332 Cacturne Grass · Dark Name: Cacturne Type: Grass, Dark Description: During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops."
333,"Dex Number: #0333 Swablu Normal · Flying Name: Swablu Type: Normal, Flying Description: SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat."
334,"Dex Number: #0334 Altaria Dragon · Flying Name: Altaria Type: Dragon, Flying Description: ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment."
335,Dex Number: #0335 Zangoose Normal Name: Zangoose Type: Normal Description: Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.
336,Dex Number: #0336 Seviper Poison Name: Seviper Type: Poison Description: SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword-edged tail.
337,"Dex Number: #0337 Lunatone Rock · Psychic Name: Lunatone Type: Rock, Psychic Description: LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far."
338,"Dex Number: #0338 Solrock Rock · Psychic Name: Solrock Type: Rock, Psychic Description: SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light."
339,"Dex Number: #0339 Barboach Water · Ground Name: Barboach Type: Water, Ground Description: BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along."
340,"Dex Number: #0340 Whiscash Water · Ground Name: Whiscash Type: Water, Ground Description: WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake."
341,Dex Number: #0341 Corphish Water Name: Corphish Type: Water Description: CORPHISH were originally foreign POKéMON that were imported as pets. They eventually turned up in the wild. This POKéMON is very hardy and has greatly increased its population.
342,"Dex Number: #0342 Crawdaunt Water · Dark Name: Crawdaunt Type: Water, Dark Description: CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places."
343,"Dex Number: #0343 Baltoy Ground · Psychic Name: Baltoy Type: Ground, Psychic Description: BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins."
344,"Dex Number: #0344 Claydol Ground · Psychic Name: Claydol Type: Ground, Psychic Description: CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating."
345,"Dex Number: #0345 Lileep Rock · Grass Name: Lileep Type: Rock, Grass Description: LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles  shaped like flower petals."
346,"Dex Number: #0346 Cradily Rock · Grass Name: Cradily Type: Rock, Grass Description: CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles."
347,"Dex Number: #0347 Anorith Rock · Bug Name: Anorith Type: Rock, Bug Description: ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws."
348,"Dex Number: #0348 Armaldo Rock · Bug Name: Armaldo Type: Rock, Bug Description: ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab."
349,"Dex Number: #0349 Feebas Water Name: Feebas Type: Water Description: FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers."
350,Dex Number: #0350 Milotic Water Name: Milotic Type: Water Description: MILOTIC is said to be the most beautiful of all the POKéMON. It has the power to becalm such emotions as anger and hostility to quell bitter feuding.
351,Dex Number: #0351 Castform Normal Name: Castform Type: Normal Description: CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.
352,Dex Number: #0352 Kecleon Normal Name: Kecleon Type: Normal Description: KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.
353,"Dex Number: #0353 Shuppet Ghost Name: Shuppet Type: Ghost Description: SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home."
354,Dex Number: #0354 Banette Ghost Name: Banette Type: Ghost Description: BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.
355,"Dex Number: #0355 Duskull Ghost Name: Duskull Type: Ghost Description: DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn."
356,"Dex Number: #0356 Dusclops Ghost Name: Dusclops Type: Ghost Description: DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out."
357,"Dex Number: #0357 Tropius Grass · Flying Name: Tropius Type: Grass, Flying Description: The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit."
358,"Dex Number: #0358 Chimecho Psychic Name: Chimecho Type: Psychic Description: CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying."
359,"Dex Number: #0359 Absol Dark Name: Absol Type: Dark Description: Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON."
360,"Dex Number: #0360 Wynaut Psychic Name: Wynaut Type: Psychic Description: WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail."
361,"Dex Number: #0361 Snorunt Ice Name: Snorunt Type: Ice Description: SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns."
362,"Dex Number: #0362 Glalie Ice Name: Glalie Type: Ice Description: GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires."
363,"Dex Number: #0363 Spheal Ice · Water Name: Spheal Type: Ice, Water Description: SPHEAL is much faster rolling than  walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy."
364,"Dex Number: #0364 Sealeo Ice · Water Name: Sealeo Type: Ice, Water Description: SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose."
365,"Dex Number: #0365 Walrein Ice · Water Name: Walrein Type: Ice, Water Description: WALREIN’s two massively developed tusks can totally shatter blocks of ice weighing ten tons with one blow. This POKéMON’s thick coat of blubber insulates it from subzero temperatures."
366,Dex Number: #0366 Clamperl Water Name: Clamperl Type: Water Description: CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.
367,Dex Number: #0367 Huntail Water Name: Huntail Type: Water Description: HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.
368,"Dex Number: #0368 Gorebyss Water Name: Gorebyss Type: Water Description: GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks."
369,"Dex Number: #0369 Relicanth Water · Rock Name: Relicanth Type: Water, Rock Description: RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth."
370,Dex Number: #0370 Luvdisc Water Name: Luvdisc Type: Water Description: LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.
371,"Dex Number: #0371 Bagon Dragon Name: Bagon Type: Dragon Description: BAGON has a dream of one day soaring in the sky. In doomed efforts to fly, this POKéMON hurls itself off cliffs. As a result of its dives, its head has  grown tough and as hard as tempered steel."
372,"Dex Number: #0372 Shelgon Dragon Name: Shelgon Type: Dragon Description: Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish."
373,"Dex Number: #0373 Salamence Dragon · Flying Name: Salamence Type: Dragon, Flying Description: SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings."
374,"Dex Number: #0374 Beldum Steel · Psychic Name: Beldum Type: Steel, Psychic Description: Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism."
375,"Dex Number: #0375 Metang Steel · Psychic Name: Metang Type: Steel, Psychic Description: When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power."
376,"Dex Number: #0376 Metagross Steel · Psychic Name: Metagross Type: Steel, Psychic Description: METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs."
377,"Dex Number: #0377 Regirock Rock Name: Regirock Type: Rock Description: REGIROCK was sealed away by people long ago. If this POKéMON’s body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself."
378,"Dex Number: #0378 Regice Ice Name: Regice Type: Ice Description: REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F."
379,Dex Number: #0379 Registeel Steel Name: Registeel Type: Steel Description: REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.
380,"Dex Number: #0380 Latias Dragon · Psychic Name: Latias Type: Dragon, Psychic Description: LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe."
381,"Dex Number: #0381 Latios Dragon · Psychic Name: Latios Type: Dragon, Psychic Description: LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech."
382,Dex Number: #0382 Kyogre Water Name: Kyogre Type: Water Description: KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.
383,Dex Number: #0383 Groudon Ground Name: Groudon Type: Ground Description: GROUDON has long been described in  mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.
384,"Dex Number: #0384 Rayquaza Dragon · Flying Name: Rayquaza Type: Dragon, Flying Description: RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer,  never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere."
385,"Dex Number: #0385 Jirachi Steel · Psychic Name: Jirachi Type: Steel, Psychic Description: A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening."
386,Dex Number: #0386 Deoxys Psychic Name: Deoxys Type: Psychic Description: The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.
387,"Dex Number: #0387 Turtwig Grass Name: Turtwig Type: Grass Description: Made from soil, the shell on its back hardens when it drinks water. It lives along lakes."
388,"Dex Number: #0388 Grotle Grass Name: Grotle Type: Grass Description: It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell."
389,"Dex Number: #0389 Torterra Grass · Ground Name: Torterra Type: Grass, Ground Description: Small Pokémon occasionally gather on its unmoving back to begin building their nests."
390,Dex Number: #0390 Chimchar Fire Name: Chimchar Type: Fire Description: It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.
391,"Dex Number: #0391 Monferno Fire · Fighting Name: Monferno Type: Fire, Fighting Description: To intimidate attackers, it stretches the fire on its tail to make itself appear bigger."
392,"Dex Number: #0392 Infernape Fire · Fighting Name: Infernape Type: Fire, Fighting Description: It uses a special kind of martial arts involving all its limbs. Its fire never goes out."
393,"Dex Number: #0393 Piplup Water Name: Piplup Type: Water Description: Because it is very proud, it hates accepting food from people. Its thick down guards it from cold."
394,"Dex Number: #0394 Prinplup Water Name: Prinplup Type: Water Description: It lives alone, away from others. Apparently, every one of them believes it is the most important."
395,"Dex Number: #0395 Empoleon Water · Steel Name: Empoleon Type: Water, Steel Description: The three horns that extend from its beak attest to its power. The leader has the biggest horns."
396,"Dex Number: #0396 Starly Normal · Flying Name: Starly Type: Normal, Flying Description: They flock in great numbers. Though small, they flap their wings with great power."
397,"Dex Number: #0397 Staravia Normal · Flying Name: Staravia Type: Normal, Flying Description: It flies around forests and fields in search of bug Pokémon. It stays within a huge flock."
398,"Dex Number: #0398 Staraptor Normal · Flying Name: Staraptor Type: Normal, Flying Description: It has a savage nature. It will courageously challenge foes that are much larger."
399,"Dex Number: #0399 Bidoof Normal Name: Bidoof Type: Normal Description: With nerves of steel, nothing can perturb it. It is more agile and active than it appears."
400,"Dex Number: #0400 Bibarel Normal · Water Name: Bibarel Type: Normal, Water Description: It makes its nest by damming streams with bark and mud. It is known as an industrious worker."
401,"Dex Number: #0401 Kricketot Bug Name: Kricketot Type: Bug Description: It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone."
402,Dex Number: #0402 Kricketune Bug Name: Kricketune Type: Bug Description: It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.
